Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,47u,
"D1, D2, D3",0805,3,LED_G,
J1,PinHeader_1x03_P2.54mm_Horizontal,1,Z LIMIT UP,
J2,PinHeader_1x03_P2.54mm_Horizontal,1,Z LIMIT DOWN,
J22,PinHeader_2x03_P2.54mm_Vertical,1,ENC PWR SEL,
J23,PinHeader_2x03_P2.54mm_Vertical,1,LIM PWR SEL,
J24,PinHeader_2x03_P2.54mm_Vertical,1,HOM PWR SEL,
J3,PinHeader_1x03_P2.54mm_Horizontal,1,Z HOME,
J4,PinHeader_1x04_P2.54mm_Horizontal,1,Z ENCODER,
J5,PinHeader_1x04_P2.54mm_Horizontal,1,R ENCODER,
J6,DSUB-15_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,P10d,
"Q1, Q11, Q13, Q3, Q5, Q7, Q9",SOT-23,7,BSS138KJ,
"Q10, Q12, Q14, Q2, Q4, Q6, Q8",SOT-23,7,BSS84KJ,
R1,0805,1,2k2,
"R10, R13, R16, R19, R22, R4, R7",0805,7,4k7,
"R11, R12, R14, R15, R17, R18, R20, R21, R23, R24, R5, R6, R8, R9",0805,14,560R,
R2,0805,1,330R,
R3,0805,1,150R,
U1,DSN-1504-3A,1,DSN-1504-3A,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
